Date,Index_Value,Unit,Sequence No.,Industry
2023-03-31,54.89892902,Index,100,Automobiles
2023-03-31,97.45088726,Index,110,Fertilizers
2023-02-28,125.9343806,Index,10,Overall
2023-02-28,139.6145797,Index,20,Vegetable Ghee
2023-02-28,76.9971992,Index,30,Tea Blended
2023-02-28,93.51668473,Index,40,Cigarettes
2023-02-28,71.10726903,Index,50,Cotton Yarn
2023-02-28,83.28658186,Index,60,Cotton Cloth
2023-02-28,125.3155642,Index,70,Jute Goods
2023-02-28,131.0706014,Index,80,Paper & Board
2023-02-28,133.709641,Index,90,Cement
2023-02-28,51.73450378,Index,100,Automobiles
2023-02-28,82.59510795,Index,110,Fertilizers
2023-01-31,130.0293028,Index,10,Overall
2023-01-31,135.3127976,Index,20,Vegetable Ghee
2023-01-31,109.692493,Index,30,Tea Blended
2023-01-31,110.0407309,Index,40,Cigarettes
2023-01-31,71.12488728,Index,50,Cotton Yarn
2023-01-31,83.3154507,Index,60,Cotton Cloth
2023-01-31,121.2200011,Index,70,Jute Goods
2023-01-31,131.7098838,Index,80,Paper & Board
2023-01-31,120.5689772,Index,90,Cement
2023-01-31,58.25518942,Index,100,Automobiles
2023-01-31,91.10909023,Index,110,Fertilizers
2022-12-31,128.4608758,Index,10,Overall
2022-12-31,129.7949162,Index,20,Vegetable Ghee
2022-12-31,108.5692725,Index,30,Tea Blended
2022-12-31,89.16707148,Index,40,Cigarettes
2022-12-31,70.9592757,Index,50,Cotton Yarn
2022-12-31,83.25771303,Index,60,Cotton Cloth
2022-12-31,110.6452137,Index,70,Jute Goods
2022-12-31,144.3676759,Index,80,Paper & Board
2022-12-31,126.7667645,Index,90,Cement
2022-12-31,103.1004027,Index,100,Automobiles
2022-12-31,114.0219696,Index,110,Fertilizers
2022-11-30,113.04798,Index,10,Overall
2022-11-30,123.5955165,Index,20,Vegetable Ghee
2022-11-30,109.4138647,Index,30,Tea Blended
2022-11-30,97.32820149,Index,40,Cigarettes
2022-11-30,73.15098637,Index,50,Cotton Yarn
2022-11-30,87.18387426,Index,60,Cotton Cloth
2022-11-30,107.8498294,Index,70,Jute Goods
2022-11-30,137.4004809,Index,80,Paper & Board
2022-11-30,128.2908106,Index,90,Cement
2022-11-30,107.6581734,Index,100,Automobiles
2022-11-30,98.48110916,Index,110,Fertilizers
2022-10-31,115.7828538,Index,10,Overall
2022-10-31,119.3585028,Index,20,Vegetable Ghee
2022-10-31,94.31569171,Index,30,Tea Blended
2022-10-31,104.1440903,Index,40,Cigarettes
2022-10-31,74.04951727,Index,50,Cotton Yarn
2022-10-31,89.03147954,Index,60,Cotton Cloth
2022-10-31,115.4342055,Index,70,Jute Goods
2022-10-31,129.4832139,Index,80,Paper & Board
2022-10-31,135.9110409,Index,90,Cement
2022-10-31,84.81018047,Index,100,Automobiles
2022-10-31,105.1567166,Index,110,Fertilizers
2022-09-30,111.7277225,Index,10,Overall
2022-09-30,119.8698832,Index,20,Vegetable Ghee
2022-09-30,94.93389833,Index,30,Tea Blended
2022-09-30,113.7849856,Index,40,Cigarettes
2022-09-30,101.4881845,Index,50,Cotton Yarn
2022-09-30,101.1563892,Index,60,Cotton Cloth
